toponym-index,toponym_id,Toponym mention @Asher,incident - xpath_location,GeoNarrative,seq_number,PlaceID
36,BTAsherT36,גינואה,/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[1],2,1,K877
37,BTAsherT37,סבתה,/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[2],2,,K8782
38,BTAsherT38,גינואה,/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[3],2,1,K877
39,BTAsherT39,פישה,/TEI[1]/text[1]/body[1]/ab[1]/seg[13]/placeName[4],2,2,K251
40,BTAsherT40,פישה,/TEI[1]/text[1]/body[1]/ab[1]/seg[14]/placeName[1],2,2,K251
41,BTAsherT41,לוקא,/TEI[1]/text[1]/body[1]/ab[1]/seg[15]/placeName[1],2,3,K6491
42,BTAsherT42,רומא רבתא,/TEI[1]/text[1]/body[1]/ab[1]/seg[16]/placeName[1],2,4,K440
43,BTAsherT43,קושטנטינופולי,/TEI[1]/text[1]/body[1]/ab[1]/seg[16]/placeName[12],3,,K6927
44,BTAsherT44,קפואה,/TEI[1]/text[1]/body[1]/ab[1]/seg[17]/placeName[1],4,1,K6800
45,BTAsherT45,פוצול,/TEI[1]/text[1]/body[1]/ab[1]/seg[18]/placeName[1],4,2,K9790
46,BTAsherT46,סוריינטו,/TEI[1]/text[1]/body[1]/ab[1]/seg[18]/placeName[2],4,2,K9809
47,BTAsherT47,לונברדיאה,/TEI[1]/text[1]/body[1]/ab[1]/seg[18]/placeName[3],4,,K10968
48,BTAsherT48,רומא,/TEI[1]/text[1]/body[1]/ab[1]/seg[19]/placeName[1],4,,K440
49,BTAsherT49,נאפולי,/TEI[1]/text[1]/body[1]/ab[1]/seg[19]/placeName[2],4,3,K673
50,BTAsherT50,שלירנה,/TEI[1]/text[1]/body[1]/ab[1]/seg[20]/placeName[1],4,4,K6373
51,BTAsherT51,ציפונת,/TEI[1]/text[1]/body[1]/ab[1]/seg[20]/placeName[2],4,,K7024
52,BTAsherT52,אמלפי,/TEI[1]/text[1]/body[1]/ab[1]/seg[21]/placeName[1],4,5,K6262
53,BTAsherT53,בינאבינטו,/TEI[1]/text[1]/body[1]/ab[1]/seg[22]/placeName[1],4,6,K6449
54,BTAsherT54,מלפי,/TEI[1]/text[1]/body[1]/ab[1]/seg[23]/placeName[1],4,7,K12281
55,BTAsherT55,פולייא,/TEI[1]/text[1]/body[1]/ab[1]/seg[23]/placeName[2],4,,K7555
56,BTAsherT56,ארץ פול,/TEI[1]/text[1]/body[1]/ab[1]/seg[23]/placeName[3],4,,K7555
57,BTAsherT57,אשקולי,/TEI[1]/text[1]/body[1]/ab[1]/seg[24]/placeName[1],4,8,GN3182747
58,BTAsherT58,טרנאה,/TEI[1]/text[1]/body[1]/ab[1]/seg[25]/placeName[1],4,9,K7879
59,BTAsherT59,ירושלים,/TEI[1]/text[1]/body[1]/ab[1]/seg[25]/placeName[2],4,,K691
60,BTAsherT60,מיקילס דבר,/TEI[1]/text[1]/body[1]/ab[1]/seg[26]/placeName[1],4,10,K7504
61,BTAsherT61,ציקיליה,/TEI/text[1]/body[1]/ab[1]/seg[26]/persName[1]/placeName[1],4,,K6284
62,BTAsherT62,טראנטו,/TEI[1]/text[1]/body[1]/ab[1]/seg[27]/placeName[1],4,11,K8176
63,BTAsherT63,קלאבריאה,/TEI[1]/text[1]/body[1]/ab[1]/seg[27]/placeName[2],4,,K7660
64,BTAsherT64,ברנדישי,/TEI[1]/text[1]/body[1]/ab[1]/seg[28]/placeName[1],4,12,K11068
65,BTAsherT65,אוטרנדו,/TEI[1]/text[1]/body[1]/ab[1]/seg[29]/placeName[1],5,1,K7029
66,BTAsherT66,יון,/TEI[1]/text[1]/body[1]/ab[1]/seg[29]/placeName[2],5,,K8822
67,BTAsherT67,קרופוס,/TEI[1]/text[1]/body[1]/ab[1]/seg[30]/placeName[1],5,2,K1039
68,BTAsherT68,לבטה,/TEI[1]/text[1]/body[1]/ab[1]/seg[31]/placeName[1],5,3,K20954
69,BTAsherT69,נטוליקון,/TEI[1]/text[1]/body[1]/ab[1]/seg[32]/placeName[1],5,5,GN265507
70,BTAsherT70,אכילון,/TEI[1]/text[1]/body[1]/ab[1]/seg[33]/placeName[1],5,4,U1
71,BTAsherT71,פטרה,/TEI[1]/text[1]/body[1]/ab[1]/seg[34]/placeName[1],5,6,K12768
72,BTAsherT72,לפנטו,/TEI[1]/text[1]/body[1]/ab[1]/seg[35]/placeName[1],5,7,K21742
73,BTAsherT73,קורש,/TEI[1]/text[1]/body[1]/ab[1]/seg[36]/placeName[1],5,8,GN259862
74,BTAsherT74,פרנש,/TEI[1]/text[1]/body[1]/ab[1]/seg[36]/placeName[2],5,,GN255730
75,BTAsherT75,קורינטו,/TEI[1]/text[1]/body[1]/ab[1]/seg[37]/placeName[1],5,9,GN259289
76,BTAsherT76,טיבש,/TEI[1]/text[1]/body[1]/ab[1]/seg[38]/placeName[1],5,10,K14830
77,BTAsherT77,יון,/TEI[1]/text[1]/body[1]/ab[1]/seg[38]/placeName[2],5,,K8822
78,BTAsherT78,קושטנטינופולי,/TEI[1]/text[1]/body[1]/ab[1]/seg[38]/placeName[3],5,,K6927
79,BTAsherT79,ארגירפו,/TEI[1]/text[1]/body[1]/ab[1]/seg[39]/placeName[1],5,11,K14277
80,BTAsherT80,יובשטריסה,/TEI[1]/text[1]/body[1]/ab[1]/seg[40]/placeName[1],5,12,GN258577
81,BTAsherT81,רובינקה,/TEI[1]/text[1]/body[1]/ab[1]/seg[41]/placeName[1],5,13,GN261211
82,BTAsherT82,שינון פוטמו,/TEI[1]/text[1]/body[1]/ab[1]/seg[42]/placeName[1],5,14,GN258620
83,BTAsherT83,בלכיא,/TEI[1]/text[1]/body[1]/ab[1]/seg[42]/placeName[2],5,,K9259
84,BTAsherT84,יון,/TEI[1]/text[1]/body[1]/ab[1]/seg[42]/placeName[3],5,,K8822
85,BTAsherT85,גרדיגי,/TEI[1]/text[1]/body[1]/ab[1]/seg[43]/placeName[1],5,15,GN255638
86,BTAsherT86,ארמילו,/TEI[1]/text[1]/body[1]/ab[1]/seg[44]/placeName[1],5,16,BJ5
87,BTAsherT87,בישינה,/TEI[1]/text[1]/body[1]/ab[1]/seg[45]/placeName[1],5,17,BJ9
88,BTAsherT88,סלוסקי,/TEI[1]/text[1]/body[1]/ab[1]/seg[46]/placeName[1],5,18,K103
89,BTAsherT89,מיטריסי,/TEI[1]/text[1]/body[1]/ab[1]/seg[47]/placeName[1],5,19,GN736795
90,BTAsherT90,דרמה,/TEI[1]/text[1]/body[1]/ab[1]/seg[48]/placeName[1],5,20,K14269
91,BTAsherT91,קנישתולי,/TEI[1]/text[1]/body[1]/ab[1]/seg[49]/placeName[1],5,21,GN735861
92,BTAsherT92,אבירו,/TEI[1]/text[1]/body[1]/ab[1]/seg[50]/placeName[1],5,22,K4579
93,BTAsherT93,קושטנדינה,/TEI[1]/text[1]/body[1]/ab[1]/seg[50]/placeName[2],5,23,K6927
94,BTAsherT94,יון,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[1],5,,K8822
95,BTAsherT95,קושטנטינה,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[2],5,23,K6927
96,BTAsherT96,קושטאנטינה,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[3],5,23,K6927
97,BTAsherT97,בבל,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[5],5,,U4
98,BTAsherT98,שנער,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[6],5,,Q1404297
99,BTAsherT99,מדי,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[7],5,,K22613
100,BTAsherT100,פרס,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[8],5,,K7639
101,BTAsherT101,מצרים,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[9],5,,K8046
102,BTAsherT102,רושיא,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[10],5,,U6
103,BTAsherT103,אונגריאה,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[11],5,,Q171150
104,BTAsherT104,פסיינקי,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[12],5,,U2
105,BTAsherT105,בודיא,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[13],5,,U3
106,BTAsherT106,לונברדייא,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[14],5,,K10968
107,BTAsherT107,ספרד,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[15],5,,K6471
108,BTAsherT108,בגדיד,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[16],5,,K662
109,BTAsherT109,בילכירנש,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[17],5,,Q1472490
110,BTAsherT110,יון,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[18],5,,K8822
111,BTAsherT111,ים שופיא,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[19],5,,U7
112,BTAsherT112,פירא,/TEI[1]/text[1]/body[1]/ab[1]/seg[51]/placeName[20],5,,K7544
113,BTAsherT113,רודוסטו,/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[1],6,1,K22213
114,BTAsherT114,גאליפולי,/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[2],6,2,GN746983
115,BTAsherT115,קלש,/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[3],6,3,PL844961
116,BTAsherT116,מיטילין,/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[4],6,4,GN256866
117,BTAsherT117,כא,/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[5],6,5,K17289
118,BTAsherT118,סמו,/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[6],6,6,K14268
119,BTAsherT119,רודוש,/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[7],6,7,K2044
120,BTAsherT120,כיפרוס,/TEI[1]/text[1]/body[1]/ab[1]/seg[52]/placeName[8],6,8,K7562
121,BTAsherT121,קורקוס,/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[1],7,1,PL638939
122,BTAsherT122,דוכיא,/TEI[1]/text[1]/body[1]/ab[1]/seg[53]/placeName[2],7,,K16830
123,BTAsherT123,מלמישטרש,/TEI[1]/text[1]/body[1]/ab[1]/seg[54]/placeName[1],7,2,U11
124,BTAsherT124,תרשיש,/TEI[1]/text[1]/body[1]/ab[1]/seg[54]/placeName[2],7,2,U10
125,BTAsherT125,אנטוכיא הגדולה,/TEI[1]/text[1]/body[1]/ab[1]/seg[55]/placeName[1],7,3,K11503
126,BTAsherT126,נהר פיר,/TEI[1]/text[1]/body[1]/ab[1]/seg[55]/placeName[2],7,,K5150
127,BTAsherT127,נחל יבוק,/TEI/text[1]/body[1]/ab[1]/seg[55]/placeName[3],,,U9
128,BTAsherT128,הר הלבנון,/TEI[1]/text[1]/body[1]/ab[1]/seg[55]/placeName[3],7,,K15821
129,BTAsherT129,חמת,/TEI[1]/text[1]/body[1]/ab[1]/seg[55]/placeName[5],7,,K11554
130,BTAsherT130,ליגא,/TEI[1]/text[1]/body[1]/ab[1]/seg[57]/placeName[1],7,4,GN173576
131,BTAsherT131,לודקיא,/TEI[1]/text[1]/body[1]/ab[1]/seg[57]/placeName[2],7,4,GN173576
132,BTAsherT132,גיבל,/TEI[1]/text[1]/body[1]/ab[1]/seg[58]/placeName[1],7,5,K18052
133,BTAsherT133,בעל גד,/TEI[1]/text[1]/body[1]/ab[1]/seg[58]/placeName[2],7,5,K18052
134,BTAsherT134,הר הלבנון,/TEI[1]/text[1]/body[1]/ab[1]/seg[58]/placeName[3],7,,K15821
135,BTAsherT135,קרמוס,/TEI[1]/text[1]/body[1]/ab[1]/seg[59]/placeName[1],7,,GN173389
136,BTAsherT136,קדמות,/TEI[1]/text[1]/body[1]/ab[1]/seg[59]/placeName[2],7,,GN173389
137,BTAsherT137,סיחון,/TEI[1]/text[1]/body[1]/ab[1]/seg[59]/placeName[3],7,,U8
138,BTAsherT138,טריפול,/TEI[1]/text[1]/body[1]/ab[1]/seg[59]/placeName[4],7,,K13529
139,BTAsherT139,טראבלוס אל שאם,/TEI[1]/text[1]/body[1]/ab[1]/seg[59]/placeName[5],7,,K13529
140,BTAsherT140,ארץ ישראל,/TEI[1]/text[1]/body[1]/ab[1]/seg[60]/placeName[1],7,,K2501
141,BTAsherT141,גיבל,/TEI[1]/text[1]/body[1]/ab[1]/seg[61]/placeName[1],7,6,K15288
142,BTAsherT142,בירוט,/TEI[1]/text[1]/body[1]/ab[1]/seg[62]/placeName[1],7,7,K651
143,BTAsherT143,בארות,/TEI[1]/text[1]/body[1]/ab[1]/seg[62]/placeName[2],7,7,K651
144,BTAsherT144,ציידא,/TEI[1]/text[1]/body[1]/ab[1]/seg[63]/placeName[1],7,8,K13639
145,BTAsherT145,צידון,/TEI[1]/text[1]/body[1]/ab[1]/seg[63]/placeName[2],7,8,K13639
146,BTAsherT146,חרמון,/TEI[1]/text[1]/body[1]/ab[1]/seg[64]/placeName[2],7,,K21726
147,BTAsherT147,צור החדשה,/TEI[1]/text[1]/body[1]/ab[1]/seg[65]/placeName[1],7,9,K14095
148,BTAsherT148,קרקשונה,/TEI/text[1]/body[1]/ab[1]/seg[65]/persName[2]/placeName[1],7,,K10934
149,BTAsherT149,צור החדשה,/TEI[1]/text[1]/body[1]/ab[1]/seg[65]/placeName[2],7,9,K14095
150,BTAsherT150,צור המעטירה,/TEI[1]/text[1]/body[1]/ab[1]/seg[65]/placeName[3],7,,U12
151,BTAsherT151,צור החדשה,/TEI[1]/text[1]/body[1]/ab[1]/seg[65]/placeName[4],7,9,K14095
152,BTAsherT152,אקרי,/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[1],7,10,K71
153,BTAsherT153,עכו,/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[2],7,10,K71
154,BTAsherT154,ארץ ישראל,/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[3],7,,K2501
155,BTAsherT155,קדומים,/TEI[1]/text[1]/body[1]/ab[1]/seg[66]/placeName[4],8,11,K21499
156,BTAsherT156,כיפש,/TEI[1]/text[1]/body[1]/ab[1]/seg[67]/placeName[1],8,12,K791
157,BTAsherT157,גת החפר,/TEI[1]/text[1]/body[1]/ab[1]/seg[67]/placeName[2],8,12,K791
158,BTAsherT158,הר הכרמל,/TEI[1]/text[1]/body[1]/ab[1]/seg[68]/placeName[1],8,,K1156
159,BTAsherT159,מערת אליהו,/TEI[1]/text[1]/body[1]/ab[1]/seg[68]/placeName[2],8,,K26255
160,BTAsherT160,שנט אליש,/TEI[1]/text[1]/body[1]/ab[1]/seg[68]/placeName[3],8,,U5
