toponym-index	Toponym mention @Asher	ASHER - xpath_location	GeoNarrative	seq_number	url	id	_ - primary_rom_full	_ - primary_heb_full	geotype	lat	lng	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London
75	אוטרנדו	/TEI[1]/text[1]/body[1]/ab[1]/seg[30]/placeName[1]	5	1	http://geo-kima.org/place/7029	7029	Otranto (Italy)	אוטרנטו (איטליה)	point	40.145948	18.490953	לאורנדו	לאוסרינטו	לאורנארו	לאורדינדו
76	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[30]/placeName[2]	5		http://geo-kima.org/Place/8822	8822		יוון	polygon						
77	קרופוס	/TEI[1]/text[1]/body[1]/ab[1]/seg[31]/placeName[1]	5	2	http://geo-kima.org/Places/1039	1039	Corfu Island (Greece)	קורפו, אי (יוון)	point	39.60733	19.92178	לאוקרופוס	לקופרו	לאוקרופוס	לאקורפוס
78	לבטה	/TEI[1]/text[1]/body[1]/ab[1]/seg[32]/placeName[1]	5	3	http://geo-kima.org/Place/20954	20954	Arta (Greece)	ארטה (יוון)	point	39.159	20.985	לבטה	לארטה	לבאנטה	לרנוה
79	נטוליקון	/TEI[1]/text[1]/body[1]/ab[1]/seg[34]/placeName[1]	5	5	https://www.geonames.org/265507				point	40.66152	22.7119	לנטוליקון	לנטוליקון	לנאטוליקץ	לנטוליקון
79	אכילון	/TEI[1]/text[1]/body[1]/ab[1]/seg[33]/placeName[1]	5	4	-				point	39.04107	20.95316	אכילון	אפילון	אקילץ	אפילון
80	פטרה	/TEI[1]/text[1]/body[1]/ab[1]/seg[35]/placeName[1]	5	6	http://geo-kima.org/place/12768	12768	Patrai (Greece)	פטרס (יוון)	point	38.243265	21.738518	לפטרה	_	לפאטרה	_
81	לפנטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[36]/placeName[1]	5	7	http://geo-kima.org/Places/Details?id=21742	21742	Náfpaktos (Greece)	נפפקטוס (יוון)	point	38.39167	21.8275	ללפנטו	לכיפטו	ללופאנטי	_
82	קורש	/TEI[1]/text[1]/body[1]/ab[1]/seg[37]/placeName[1]	5	8	https://www.geonames.org/259862				point	38.4753859	22.4689446	קורש	קרייש	קורש	_
83	פרנש	/TEI[1]/text[1]/body[1]/ab[1]/seg[37]/placeName[2]	5		https://www.geonames.org/255730				point	38.53528	22.62188	פורש	קרש	פורש	
84	קורינטו	/TEI[1]/text[1]/body[1]/ab[1]/seg[38]/placeName[1]	5	9	https://www.geonames.org/259289				point	37.906045	22.878721	קורינטו	קורנטו	קורונאטי	_
85	טיבש	/TEI[1]/text[1]/body[1]/ab[1]/seg[39]/placeName[1]	5	10	http://geo-kima.org/place/14830	14830	Thebes (Greece)	תבאי (יוון)	point	38.318092	23.255096	טיבש	תיביס	טיוכס	
86	יון	/TEI[1]/text[1]/body[1]/ab[1]/seg[39]/placeName[2]	5		http://geo-kima.org/place/8822	8822		יוון	polygon	39.04697922	22.97947876				
87	קושטנטינופולי	/TEI[1]/text[1]/body[1]/ab[1]/seg[39]/placeName[3]	5		http://geo-kima.org/place/6927	6927	Constantinople	קונסטנטינופול	point	41.012379	28.975926	קושטטינופולי.	קוסטנטינה.	_	_
