Asher	Ed Constantinople	Ms Casanatense	Ms_Epstein	Ms_London	Adler	placeName	tempindexreal	place_ID	Gazetter	ContexTypology	Borders&Hierarchies	vocabularyType	tripleComparsion
	ציקיליה	סיציליאה	ציקיליא'	צקיליה	Sicily		recogito-8a4d6131-4b0c-490e-bf42-62daf2a574ca	#K6284	KIMA				
טראנטו	טרנטו	טרנטו	טראטו	טירטנו	Taranto	طارنت	temp0095	#K8176	KIMA	itin+border		עיר	fullAgreement
קלאבריאה	קלאבריאה	קלבריאה	קלאבריא'	קלבריה	Calabria		temp0096	#K7660	KIMA		תחלת מלכות ארץ קלאבריה	מלכות ארץ	AsherAdlerAgreement
					Taranto		temp0097	#K8176	KIMA				AdlerOnly
ברנדישי	ברנדיס	ברינבס	נרניס	ברנדיש	Brindisi	برنديزي	temp0098	#K11068	KIMA	itin			fullAgreement
אוטרנדו	אורנדו	אוסרינטו	אורנארו	אורדינדו	Otranto	أوطرنت	temp0099	#K7029	KIMA	itin			fullAgreement
יון						اليونان	temp0100	#K8822	KIMA				HaddadAsherAgreement
	אוקרופוס	קופרו	אוקרופוס	אקורפוס	Otranto		temp0101	#K7029	KIMA				AdlerOnly
קרופוס					Corfu	قرفو	temp0102	#K1039	KIMA	itin	עד הנה מלכות ציקיליה		fullAgreement
ציקיליה					Sicily		temp0103	#K6284	KIMA				AsherAdlerAgreement
לבטה	בטה	ארטה	באנטה	רנוה	Larta 	أرته	temp0104	#K20954	KIMA	itin+border	תחלת מלכות מנואל מלך היונים	ארץ	fullAgreement
אכילון	נטוליקון	נטוליקון	נאטוליקץ	נטוליקון	"Aphilon
                        "	إخيلون	temp0105	#U1		itin			HaddadAsherAgreement
נטוליקון	אכילון	אפילון	אקילץ	אפילון	Anatolica	أناطوليكه	temp0106	#GN265507	Geonames	itin			fullAgreement
פטרה	לפטרה	_	לפאטרה	_	Patras	بتراس	temp0107	#K12768	KIMA	itin		מדינה	fullAgreement
לפנטו	ללפנטו	לכיפטו	ללופאנטי	_	Kifto 	ليبنتو	temp0108	#K21742	KIMA	itin			fullAgreement
קורש	קורש	קרייש	קורש	_	Crissa	كريسة	temp0109	#GN259862	Geonames	itin			fullAgreement
פרנש	פורש	קרש	פורש			برناسوس	temp0110	#K3527	KIMA				HaddadAsherAgreement
קורינטו	קורינטו	קורנטו	קורונאטי	_	Corinth	قورنث	temp0111	#GN259289	Geonames	itin		עיר	fullAgreement
טיבש	טיבש	תיביס	טיוכס		Thebes	طيبة	temp0112	#K14830	KIMA	itin		עיר	fullAgreement
יון					Greece	اليونان	temp0113	#K8822	KIMA			ארץ	fullAgreement
קושטנטינופולי	קושטטינופולי	קוסטנטינה	_	_	Constantinople	قسطنطينية	temp0114	#K533	KIMA	comparison		מדינה	fullAgreement
					Thebes		temp0115	#K14830	KIMA				AdlerOnly
ארגירפו	לארגירפו	לאיגריט	לארגריפו	_	Egripo	نغروبنت	temp0116	#K14277	KIMA	itin		עיר	fullAgreement
יובשטריסה	יבושטריסה	יבושטריסה	יבוסטריסו	_	Jabustrisa	يابشتريشة	temp0117	#GN258577	Geonames	itin		מדינה	fullAgreement
רובינקה	לרובינקה	_	לרווינגו	_	Rabonica	رابنكة	temp0118	#GN261211	Geonames	itin			fullAgreement
שינון פוטמו					Sinon Potamo	شينون بوتامس	temp0119	#GN258620	Geonames	itin	תחלת בלכיא		fullAgreement
בלכיא	בלכיא	הלבלירא	בילקאייה	_	Wallachia	أفلاجونية	temp0120	#K9259	KIMA				fullAgreement
יון					Greece		temp0121	#K8822	KIMA				AsherAdlerAgreement
גרדיגי	לגרדיגי	לגודיטו	לגרריקו	_	Gardiki	غرديكى	temp0122	#GN255638	Geonames	itin			fullAgreement
ארמילו	לארמולו	לארמילו	לארמילו	_	Armylo	أرميروس	temp0123	#BJ5	Byzantine Jewry	itin		עיר	fullAgreement
בישינה	לבישינה	לבישינה	למישינה	_	Vissena	بسينة	temp0124	#BJ9	Byzantine Jewry	itin			fullAgreement
סלוסקי	סלוסקו	_	סיאלוסקי	_	Salonica	سلانيك	temp0125	#K103	KIMA	itin		עיר	fullAgreement
יון							temp0126	#K8822	KIMA				AsherOnly
מיטריסי	למיטריסי	טוריס	למטריסי	_	Demetrizi	متريزي	temp0127	#GN736795	Geonames	itin			fullAgreement
דרמה	לדרמה	לרדמה	לרראמה	_	Drama	درامة	temp0128	#K14269	KIMA	itin			fullAgreement
קנישתולי	לקנישתולי	לקרישתופילי	לקניסטולי	_	Christopoli	كرستوبوليس	temp0129	#GN735861	Geonames	itin			fullAgreement
אבירו	ליבירו	לאברו	לאבירו	_	Abydos	أبيدوس	temp0130	#BJ514	Byzantine Jewry	itin			fullAgreement
קושטנדינה	קושטנדינה	קושטינה	קוסטאנטינו	_	Constantinople	قسطنطينية	temp0131	#K533	KIMA			מדינת	fullAgreement
יון					Javan	الروم	temp0132	#K8822	KIMA	commerce		ארץ	fullAgreement
					Greece		temp0133	#K8822	KIMA				AdlerOnly
קושטנטינה	קושטנטינה	קושטנטינה	קוסטאנטינה	_	Constantinople	قسطنطينية	temp0134	#K533	KIMA			מדינה+ראש המלכות	fullAgreement
קושטאנטינה	קושטאנטינה	קוסטנטינה	קוסטאנטינה	_	Constantinople	قسطنطينية	temp0135	#K533	KIMA			עיר	fullAgreement
ים רוסיה					sea of Russia	بحر روسية	temp0136	#K1856	KIMA			ים	fullAgreement
ים ספרד					sea of Sepharad	بحر إسبانية	temp0137					ים	fullAgreement
בבל	בבל	בבל	בבל	_	Babylon	بابل	temp0138	#U4		commerce		ארץ	fullAgreement
שנער	שנער	שנער	שנער	_	Shinar	شنعار	temp0139	#Q1404297	Wikidata	commerce		ארץ	fullAgreement
מדי	מדי	מדי	מדי	_	Media	مادي	temp0140	#K22613	KIMA	commerce		ארץ	fullAgreement
פרס					Persia	فارس	temp0141	#K7639	KIMA	commerce			fullAgreement
מצרים					Egypt	مصر	temp0142	#K8046	KIMA	commerce		מלכות ארץ	fullAgreement
כנען					Canaan		temp0143						AsherAdlerAgreement
רושיא	רושיא	רוסיאה	רושיא	_	Russia	روسية	temp0144	#U6		commerce		מלכות	fullAgreement
אונגריאה	אונגריאה	אונגריאה	אונגריא'	_	Hungaria	هنغارية	temp0145	#Q171150	Wikidata	commerce			fullAgreement
פסיינקי	פסיינקי	פיסינקי	פסינגי	_	Patzinakia	البجاناكية	temp0146	#U2		commerce			fullAgreement
בודיא	בוריא	כזריאה	בוריא'	_	Khazaria	الخزر	temp0147	#U3		commerce			fullAgreement
						ولمبرذية	temp0148						HaddadOnly
לונברדייא	לונברדייא	לומברדיאה	לומברדיא'	_	Lombardy		temp0149	#K10968	KIMA	commerce		ארץ	AsherAdlerAgreement
ספרד	ספרד	ספרד	ספרד	_	Sepharad	إسبانية	temp0150	#K6471	KIMA	commerce			fullAgreement
בגדיד	מבגדיד	מבגדד	מבגדד	_	Bagdad	بغداد	temp0151	#K662	KIMA	comparison		עיר	fullAgreement
					Constantinople		temp0152	#K533	KIMA				AdlerOnly
במה של תוספיה	במה של תוספיה	במה ע׳ סופיה	במה של טוספיה		church of Santa Sophia		temp0153	#Q12506	Wikidata			במה	AsherAdlerAgreement
	רומא	רומה	רומי		Rome		temp0154						AdlerOnly
בילכירנש	בילבירנש	בלבידיניש	בילוויראנוס	בלבירוש	Blachernae		temp0155	#Q1472490	Wikidata			ארמון	fullAgreement
יון					Greece	الروم	temp0156	#K8822	KIMA			ארץ	fullAgreement
					Constantinople		temp0157	#K533	KIMA				AdlerOnly
ים שופיא	ים שופיא	הים רוסיא	ים סופיא'	ים רומי	"sea of
                        Marmora"	خليج مرمرة	temp0158					ים	fullAgreement
פירא	דיס פירא	פיירה	פירא	פיירה	Pera	بيرة	temp0159	#K7544	KIMA			מקום	fullAgreement
					Constantinople		temp0160	#K533	KIMA				AdlerOnly
רודוסטו	רודורטו	#_	ודורוסאטו	מדוטוס	Rhaedestus	رودستو	temp0161	#K22213	KIMA	itin			fullAgreement
גאליפולי	גאליפולי	דפולי	גליפולי	קליפולי	"Callipolis
                        "	غليبولي	temp0162	#GN746983	Geonames	itin			fullAgreement
קלש	קלש	קיליש	קאליסי	קילש	Kales	كالس	temp0163	#BJ23	Byzantine Jewry	itin			fullAgreement
מיטילין	למיטילי	מיטילי	למיטולי	מיטלי	Mytilene	مدلي	temp0164	#GN256866	Geonames	itin			fullAgreement
כא	חיבא	איפינו		אפיוז	Chios	خيوس	temp0165	#K17289	KIMA	itin			fullAgreement
סמו	לאיסמו	לאסמו			Samos	صاموس	temp0166	#K14268	KIMA	itin			fullAgreement
					Samos		temp0167						AdlerOnly
רודוש	לרודוש	לרודיש	לרודיס		Rhodes	رودس	temp0168	#K2044	KIMA	itin			fullAgreement
כיפרוס	לדופרוס	לקורפוס	לדופרוס		Cyprus	قبرس	temp0169	#K7562	KIMA	itin			fullAgreement
					Cyprus		temp0170	#K7562	KIMA				AdlerOnly
קורקוס	קורקוס	קוקוס	קורקוס	קורקוס	Curicus 	قوريقوس	temp0171	#PL638939	Pleiades	itin+border	תחלת ארץ ארם/תחלת ממשלת טורוש בעל ההרים מלך ארמניה המולך עד מדינת דוכיא ועד ארץ התוגרמים		fullAgreement
ארם	אדו'	ארם	אדום		Armenia		temp0172						AsherAdlerAgreement
ארמניא	_	ארמינייא	ארמיניא'	ארמיניאה	Armenia		temp0173	#K16830	KIMA				AsherAdlerAgreement
דוכיא	הדוכיא	הרוביא	הדוכיא'	ארמניא	Trunia	دوكية	temp0174					מדינת	fullAgreement
מלמישטרש	מלמישטרש	מילמישטריש	מאל משטייר	מלמישטרוש	Malmistras	ملمستراس	temp0175	#U11		itin+border	עד הנה מלכות היונים		fullAgreement
תרשיש	תרשיש	תרשיש	תרשיש	תרשיש	Tarshish	ترشيش	temp0176	#U10		idf			fullAgreement
אנטוכיא הגדולה	אנטוכיא	אנטוכיאה	אנטוכיה	אנטוכיא	Antioch the Great	انطاكية	temp0177	#K11503	KIMA	itin		עיר	fullAgreement
נהר פיר	פיר	פור	פיר	פור	Fur 		temp0178	#K5150	KIMA				fullAgreement
נחל יבוק	יבוק	יבוק	יבוק	יבוק	Jabbok	يبوق	temp0179	#U9					fullAgreement
הר הלבנון	הלבנון	הלבנון	הלבנון	הלבנון	Mount Lebanon	جبال لبنان	temp0180	#K15821	KIMA			הר	fullAgreement
חמת	חמת	צמית	חמת	חמת	Hamath	حماة	temp0181	#K11554	KIMA				fullAgreement
ליגא	ליגא	ליגה	ליגה	ליגא	Lega	الليكة	temp0182	#GN173576	Geonames	itin			fullAgreement
לודקיא	ודקיא	דוקיה	ודקייא	רוקיא	Ladikiya	اللاذقية	temp0183	#GN173576	Geonames	idf			fullAgreement
גיבל	גיבל	גובל	גיויל	גבאל	Gebal 	جبلة	temp0184	#K15288	KIMA	itin			fullAgreement
בעל-גד	בעל בר	בעל גד	בעל גד	בעל גר	Baal-Gad	بعلجاد	temp0185			idf			fullAgreement
הר הלבנון	הלבנון	הלבנון	הלבנון	הלבנו'	Lebanon	جبل لبنان	temp0186	#K15821	KIMA	geography		הר	fullAgreement
קרמוס	קרמוס	קדמוס	קרמוס	קרמוס	Kadmus	القدموس	temp0187	#GN173389	Geonames	itin		עיר	fullAgreement
קדמות	קדמות	קדמת	קדמות	קדמות	Kedemoth		temp0188	#GN173389	Geonames	idf			AsherAdlerAgreement
סיחון	סיחון	סיחון	סיחון	סיחון	Sihon	سيحون	temp0189	#U8				ארץ	fullAgreement
טריפול	טריפול	טריפול	טריפולי	טריפול	Tripolis		temp0190	#K13529	KIMA	war?		השלטון!	AsherAdlerAgreement
טראבבלוס אל*) שאם	טראבלוס	טרבלוס	טרווילוס	טרובלוס	Tarabulus el Sham	طرابلس الشام	temp0191	#K13529	KIMA	idf			fullAgreement
	טריפול	טריפול	טריפולי	טריפול	Tripolis		temp0192						AdlerOnly
ארץ ישראל					Land of Israel	فلسطين	temp0193	#K2501	KIMA			ארץ	fullAgreement
גיבל האחרת	גיבל	גיבל	גובל	גבאל	"Gebal
                        "	جبيل	temp0194	#K18052	KIMA	itin	גבול בני עמון		fullAgreement
הבמה						أطلال معابد	temp0195					במה	HaddadAsherAgreement
ארץ ישראל					"land of
                        Israel"		temp0196	#K2501	KIMA			ארץ	AsherAdlerAgreement
בירוט	בירוט	ברות	ברוטי	ביקות	Beirut	بيروت	temp0197	#K651	KIMA	itin			fullAgreement
בארות	בארות	בארות	בארות	בארות	Beeroth	بئيروت	temp0198	#K651	KIMA	idf			fullAgreement
ציידא	ציידא	סידה	צידה	צידה	Saida	صيداء	temp0199	#K13639	KIMA	itin		עיר	fullAgreement
צידון	צידון	צידון	צידון	צידון	Sidon	صيدون	temp0200	#K13639	KIMA	namesake:ling			fullAgreement
צידון	צידון	צידון	צידון	צידון		صيداء	temp0201	#K13639	KIMA				HaddadAsherAgreement
חרמון	חרמון	חרמון	חרמון	_	Mount Hermon	حرمون	temp0202	#K21726	KIMA			הר	fullAgreement
				_		صرفندة	temp0203	#K13639	KIMA				HaddadOnly
	#_	צרפתה	#_	צרפתה	Sarepta 		recogito-5ad3f8f7-9f85-4dea-8689-93e677b174d4						
	#_	צידון	#_	צידו[]			temp0203a	#K13639	KIMA				
צור החדשה	לצור	לצור	לצור		Tyre 	صور الجديدة	temp0204	#K14095	KIMA			עיר סחורה	fullAgreement
					Tyre		temp0205						AdlerOnly
					Tyre		recogito-9bfce090-2ac5-48b8-9331-481bbde0ab19						
	מקרקשונה	_	מקארקשונה	[]שונה	Carcassonne	القرقسوني	temp0206						HaddadAdlerAgreement
צור החדשה	צור	צור	צור	צור	Tyre	صور الجديدة	temp0207	#K14095	KIMA				fullAgreement
צור המעטירה	צור	צור	צור	צור	ancient Tyre		temp0208	#U12					AsherAdlerAgreement
צור החדשה	צורה	צור	צור	צור	New Tyre	صور الجديدة	temp0209	#K14095	KIMA				fullAgreement
אקרי	אקדי	אקרי	אקדי	אקרי	Acre	عكاء	temp0210	#K71	KIMA	itin	גבול אשר		fullAgreement
עכו					Acco	عكو	temp0211	#K71	KIMA		גבול אשר, תחלת ארץ ישראל		fullAgreement
ארץ ישראל					land of Israel	فلسطين	temp0212	#K2501	KIMA			ארץ	fullAgreement
הים הגדול					Great Sea		temp0213					ים	AsherAdlerAgreement
ירושלם					Jerusalem	القدس	temp0214	#K691	KIMA				fullAgreement
נחל קדומים					Kedumim	نهر قدوميم	temp0215	#U13					fullAgreement
כיפש	ניפש	קרפש	ניפים	כיפש	Haifa	حيفا	temp0216	#K791	KIMA	itin			fullAgreement
גת החפר	גד החפה	גד החפר	גד החפה	החפר	Hahepher		temp0217						fullAgreement
